"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1697301638060","(-0.060806, 0.369699, 0.300447)","(0.810470, 0.107756, -0.046773, 0.573882)","(-0.032621, 0.048627, 0.054386)","(0.663922, 0.099461, -0.327541, 0.664855)","(0.011362, 0.145028, 0.002692)","(0.470583, 0.230289, -0.351698, 0.775775)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697301638086","(-0.060718, 0.369997, 0.300412)","(0.810445, 0.107814, -0.046643, 0.573916)","(-0.031444, 0.046875, 0.053557)","(0.661689, 0.103414, -0.331320, 0.664606)","(0.011921, 0.143185, 0.001279)","(0.467188, 0.234088, -0.356331, 0.774575)","(-0.000506, -0.000288, 0.000408)","(-0.000022, 0.000942, 0.000448, 1.000000)"
"1697301638104","(-0.060332, 0.370124, 0.299784)","(0.810975, 0.107689, -0.045792, 0.573260)","(-0.028302, 0.046393, 0.051989)","(0.656700, 0.107769, -0.337870, 0.665564)","(0.014757, 0.142469, -0.001092)","(0.464814, 0.238053, -0.362438, 0.771958)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697301638131","(-0.060400, 0.370094, 0.299705)","(0.811117, 0.108042, -0.045709, 0.572998)","(-0.024715, 0.046330, 0.048776)","(0.656718, 0.111584, -0.337536, 0.665086)","(0.018045, 0.142789, -0.003751)","(0.466889, 0.239704, -0.362300, 0.770257)","(-0.000362, -0.000857, -0.000041)","(-0.001881, 0.000810, 0.001747, 0.999996)"
"1697301638154","(-0.059173, 0.369890, 0.300771)","(0.812713, 0.106148, -0.045317, 0.571119)","(-0.021574, 0.044987, 0.044985)","(0.665497, 0.116137, -0.334195, 0.657222)","(0.021116, 0.142817, -0.004844)","(0.477385, 0.242594, -0.359240, 0.764329)","(-0.000413, 0.000740, 0.000241)","(-0.000002, 0.000590, -0.000339, 1.000000)"
"1697301638173","(-0.059176, 0.369113, 0.300520)","(0.812815, 0.105783, -0.044566, 0.571101)","(-0.017785, 0.043139, 0.040374)","(0.670026, 0.122797, -0.331064, 0.652980)","(0.023993, 0.142188, -0.007791)","(0.483697, 0.247752, -0.355866, 0.760273)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697301638188","(-0.059091, 0.368958, 0.300428)","(0.812851, 0.105763, -0.044491, 0.571059)","(-0.014731, 0.041467, 0.036920)","(0.671719, 0.129525, -0.329092, 0.650935)","(0.026158, 0.141491, -0.010145)","(0.488131, 0.252687, -0.353616, 0.756858)","(-0.000462, 0.000374, -0.000439)","(0.000069, 0.000480, -0.000515, 1.000000)"
"1697301638206","(-0.059178, 0.368527, 0.300479)","(0.812822, 0.105766, -0.043821, 0.571151)","(-0.011369, 0.039812, 0.033894)","(0.673936, 0.137281, -0.321742, 0.650728)","(0.027951, 0.141106, -0.011861)","(0.492047, 0.257787, -0.346416, 0.755931)","(-0.000429, 0.001373, -0.000431)","(0.000164, 0.000064, -0.001239, 0.999999)"
"1697301638224","(-0.059702, 0.367099, 0.300665)","(0.812828, 0.106590, -0.043503, 0.571014)","(-0.006844, 0.037206, 0.030632)","(0.674711, 0.144463, -0.313898, 0.652199)","(0.030948, 0.139686, -0.014006)","(0.496517, 0.261975, -0.339106, 0.754882)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697301638255","(-0.059495, 0.367066, 0.300749)","(0.812930, 0.106602, -0.044186, 0.570815)","(-0.006190, 0.036743, 0.030073)","(0.674711, 0.144463, -0.313898, 0.652199)","(0.031603, 0.139222, -0.014565)","(0.496517, 0.261975, -0.339106, 0.754882)","(-0.000425, 0.001381, -0.000808)","(0.000846, -0.000664, -0.001314, 0.999999)"
"1697301638268","(-0.059082, 0.365914, 0.300982)","(0.812193, 0.108139, -0.045098, 0.571503)","(-0.000397, 0.033169, 0.024945)","(0.679194, 0.158566, -0.306699, 0.647679)","(0.034846, 0.137740, -0.017433)","(0.507846, 0.272319, -0.334346, 0.745754)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697301638289","(-0.058921, 0.366065, 0.300724)","(0.812112, 0.108131, -0.045208, 0.571610)","(0.002975, 0.031331, 0.023124)","(0.680014, 0.167190, -0.308522, 0.643773)","(0.037125, 0.136554, -0.018529)","(0.510819, 0.278656, -0.338229, 0.739605)","(-0.000071, 0.001460, -0.000934)","(-0.001068, -0.001832, 0.000321, 0.999998)"
"1697301638304","(-0.057121, 0.364170, 0.302562)","(0.812911, 0.109040, -0.046761, 0.570176)","(0.003980, 0.029435, 0.023560)","(0.680188, 0.168480, -0.309795, 0.642640)","(0.038045, 0.134725, -0.017993)","(0.511078, 0.280207, -0.339105, 0.738439)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697301638320","(-0.056549, 0.364098, 0.302591)","(0.812945, 0.109577, -0.046147, 0.570073)","(0.006460, 0.026739, 0.022190)","(0.680251, 0.178823, -0.312378, 0.638514)","(0.038878, 0.132755, -0.018926)","(0.512199, 0.289984, -0.342519, 0.732286)","(0.000173, 0.001468, -0.001064)","(-0.001329, -0.001859, -0.000373, 0.999997)"
"1697301638350","(-0.055390, 0.362062, 0.304882)","(0.813515, 0.111514, -0.046118, 0.568886)","(0.008771, 0.023875, 0.021982)","(0.680642, 0.187861, -0.310499, 0.636416)","(0.039923, 0.130806, -0.017900)","(0.515471, 0.296311, -0.342309, 0.727540)","(0.000244, 0.001223, -0.000562)","(0.000280, -0.000619, -0.001143, 0.999999)"
"1697301638366","(-0.055607, 0.361229, 0.305410)","(0.813020, 0.113825, -0.044299, 0.569281)","(0.009251, 0.022262, 0.022101)","(0.680056, 0.188946, -0.310245, 0.636845)","(0.040110, 0.129241, -0.017879)","(0.514716, 0.297254, -0.341879, 0.727891)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697301638388","(-0.055308, 0.361430, 0.305350)","(0.812935, 0.114183, -0.043991, 0.569353)","(0.011363, 0.021443, 0.021090)","(0.681717, 0.195030, -0.305109, 0.635716)","(0.041163, 0.128957, -0.017848)","(0.515935, 0.298220, -0.341937, 0.726605)","(0.000001, 0.000225, -0.000321)","(-0.001291, 0.000650, -0.001886, 0.999997)"
"1697301638405","(-0.056849, 0.360365, 0.306568)","(0.813536, 0.115762, -0.042900, 0.568259)","(0.013985, 0.022464, 0.021739)","(0.678049, 0.198328, -0.304602, 0.638854)","(0.042687, 0.130039, -0.018049)","(0.512038, 0.301933, -0.342276, 0.727668)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697301638432","(-0.056682, 0.360420, 0.306520)","(0.813496, 0.116040, -0.043544, 0.568210)","(0.017888, 0.024152, 0.022005)","(0.672710, 0.198794, -0.305998, 0.643667)","(0.046025, 0.131478, -0.019235)","(0.507833, 0.303061, -0.344339, 0.729171)","(0.000139, 0.000225, 0.000048)","(-0.000427, 0.000823, -0.000520, 1.000000)"
"1697301638449","(-0.057586, 0.359996, 0.306530)","(0.813805, 0.115716, -0.043753, 0.567818)","(0.019893, 0.025538, 0.025439)","(0.670636, 0.198444, -0.310251, 0.643904)","(0.047249, 0.132521, -0.017320)","(0.501045, 0.306515, -0.346732, 0.731286)","(0.000283, 0.000097, 0.000118)","(-0.000058, 0.000899, -0.000151, 1.000000)"
"1697301638471","(-0.058394, 0.359987, 0.306371)","(0.813850, 0.115250, -0.044569, 0.567785)","(0.020547, 0.026404, 0.026925)","(0.669693, 0.198241, -0.312513, 0.643853)","(0.047689, 0.133169, -0.016482)","(0.498378, 0.307486, -0.347926, 0.732134)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
