"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1702074827483","(-0.189181, 0.382121, 0.216117)","(0.805941, 0.088956, 0.034415, 0.584261)","(-0.036898, -0.006005, 0.034698)","(0.627147, 0.058940, -0.184815, 0.754358)","(-0.001852, 0.083201, -0.025398)","(0.267075, 0.169163, -0.247081, 0.915973)","(-0.000165, 0.000295, -0.000172)","(-0.000827, 0.000906, -0.000804, 0.999999)"
"1702074827490","(-0.189880, 0.380912, 0.216446)","(0.806261, 0.088413, 0.034795, 0.583880)","(-0.035631, -0.009632, 0.033794)","(0.628689, 0.060616, -0.183470, 0.753270)","(-0.000949, 0.079865, -0.026008)","(0.267803, 0.170067, -0.245355, 0.916057)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827511","(-0.189880, 0.380912, 0.216446)","(0.806261, 0.088413, 0.034795, 0.583880)","(-0.035631, -0.009632, 0.033794)","(0.628689, 0.060616, -0.183470, 0.753270)","(-0.000949, 0.079865, -0.026008)","(0.267803, 0.170067, -0.245355, 0.916057)","(-0.000020, 0.000849, 0.000707)","(0.001640, -0.000741, 0.003125, 0.999994)"
"1702074827537","(-0.187001, 0.381802, 0.214552)","(0.805948, 0.086172, 0.031378, 0.584840)","(-0.033818, -0.016428, 0.032655)","(0.636889, 0.061684, -0.180070, 0.747089)","(0.000445, 0.073234, -0.026197)","(0.265060, 0.170654, -0.242410, 0.917528)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827557","(-0.186778, 0.381629, 0.214696)","(0.806322, 0.087099, 0.031391, 0.584187)","(-0.028945, -0.024317, 0.027320)","(0.670672, 0.067234, -0.157391, 0.721739)","(0.003067, 0.065550, -0.027410)","(0.246983, 0.164813, -0.229273, 0.926968)","(0.000539, 0.000076, 0.000521)","(0.002843, -0.001181, 0.004968, 0.999983)"
"1702074827586","(-0.182915, 0.384527, 0.212231)","(0.805229, 0.084625, 0.026471, 0.586298)","(-0.028475, -0.027450, 0.022080)","(0.703016, 0.070232, -0.147913, 0.692068)","(0.002897, 0.061930, -0.028442)","(0.235606, 0.159450, -0.228756, 0.930987)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827591","(-0.182618, 0.384703, 0.212051)","(0.805410, 0.085283, 0.026354, 0.585958)","(-0.027911, -0.027858, 0.020203)","(0.712922, 0.073059, -0.145501, 0.682081)","(0.003052, 0.061583, -0.028741)","(0.232923, 0.158835, -0.228296, 0.931879)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827605","(-0.182618, 0.384703, 0.212051)","(0.805410, 0.085283, 0.026354, 0.585958)","(-0.027911, -0.027858, 0.020203)","(0.712922, 0.073059, -0.145501, 0.682081)","(0.003052, 0.061583, -0.028741)","(0.232923, 0.158835, -0.228296, 0.931879)","(0.000332, -0.004447, 0.000258)","(-0.000687, 0.000812, 0.007436, 0.999972)"
"1702074827621","(-0.176911, 0.391694, 0.211863)","(0.806863, 0.079824, 0.023142, 0.584863)","(-0.028546, -0.023943, 0.017883)","(0.727227, 0.072028, -0.148252, 0.666314)","(0.003184, 0.065022, -0.029029)","(0.233911, 0.156797, -0.235652, 0.930145)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827638","(-0.176961, 0.391839, 0.211987)","(0.806817, 0.079926, 0.023422, 0.584902)","(-0.028941, -0.025112, 0.017405)","(0.730878, 0.074863, -0.152120, 0.661115)","(0.002765, 0.063836, -0.028756)","(0.233562, 0.158562, -0.239251, 0.929014)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827657","(-0.176678, 0.392045, 0.212053)","(0.806946, 0.080963, 0.023487, 0.584578)","(-0.029138, -0.027824, 0.017564)","(0.726915, 0.077991, -0.156947, 0.663988)","(0.002629, 0.061391, -0.028478)","(0.234993, 0.162243, -0.242259, 0.927236)","(0.001621, -0.002003, 0.000064)","(-0.003611, -0.001014, 0.010738, 0.999935)"
"1702074827688","(-0.169125, 0.396378, 0.215195)","(0.809819, 0.073680, 0.016998, 0.581787)","(-0.031273, -0.025281, 0.017379)","(0.729944, 0.071420, -0.164523, 0.659556)","(0.002313, 0.063562, -0.028087)","(0.239822, 0.161524, -0.251853, 0.923561)","(0.001208, -0.000875, 0.000634)","(-0.002121, -0.000298, 0.006566, 0.999976)"
"1702074827701","(-0.164463, 0.398792, 0.216454)","(0.811072, 0.070459, 0.013028, 0.580541)","(-0.031223, -0.025744, 0.017069)","(0.717920, 0.076665, -0.175834, 0.669176)","(0.003244, 0.063731, -0.028450)","(0.253574, 0.166418, -0.260554, 0.916579)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827722","(-0.163896, 0.399172, 0.216317)","(0.810730, 0.071954, 0.013220, 0.580832)","(-0.031199, -0.026997, 0.017185)","(0.717920, 0.076665, -0.175834, 0.669176)","(0.003268, 0.062478, -0.028334)","(0.253574, 0.166418, -0.260554, 0.916579)","(0.001413, -0.000233, 0.001137)","(-0.001071, 0.000895, 0.003454, 0.999993)"
"1702074827739","(-0.162601, 0.400301, 0.215874)","(0.811349, 0.069210, 0.012154, 0.580323)","(-0.032402, -0.026283, 0.016346)","(0.720077, 0.074116, -0.177832, 0.666613)","(0.002829, 0.063180, -0.028651)","(0.257727, 0.164665, -0.263503, 0.914893)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827761","(-0.162143, 0.400606, 0.215811)","(0.811310, 0.069897, 0.012224, 0.580294)","(-0.031038, -0.026377, 0.018112)","(0.716364, 0.075176, -0.178567, 0.670287)","(0.004117, 0.063150, -0.027289)","(0.258314, 0.164544, -0.262166, 0.915133)","(0.001508, 0.000906, 0.001788)","(-0.001787, 0.001938, 0.001324, 0.999996)"
"1702074827793","(-0.163035, 0.399599, 0.214831)","(0.812277, 0.068968, 0.013297, 0.579028)","(-0.031319, -0.025747, 0.017482)","(0.712215, 0.075422, -0.178565, 0.674667)","(0.003945, 0.063961, -0.028231)","(0.261528, 0.163391, -0.260817, 0.914812)","(0.001427, 0.002001, 0.002216)","(-0.002264, 0.002794, -0.001409, 0.999993)"
"1702074827824","(-0.166185, 0.397049, 0.213335)","(0.813379, 0.070085, 0.017859, 0.577221)","(-0.032553, -0.028800, 0.015225)","(0.714130, 0.074944, -0.175453, 0.673512)","(0.002711, 0.061212, -0.029884)","(0.264095, 0.161793, -0.258425, 0.915037)","(0.001437, 0.002444, 0.002315)","(-0.004913, 0.003787, -0.003434, 0.999975)"
"1702074827836","(-0.171351, 0.392346, 0.213797)","(0.815702, 0.071677, 0.024672, 0.573484)","(-0.032218, -0.028919, 0.015491)","(0.706679, 0.078360, -0.171968, 0.681830)","(0.002388, 0.061940, -0.030087)","(0.270172, 0.161182, -0.253166, 0.914841)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827861","(-0.171351, 0.392346, 0.213797)","(0.815702, 0.071677, 0.024672, 0.573484)","(-0.032218, -0.028919, 0.015491)","(0.706679, 0.078360, -0.171968, 0.681830)","(0.002388, 0.061940, -0.030087)","(0.270172, 0.161182, -0.253166, 0.914841)","(0.000268, 0.003882, 0.003795)","(-0.010875, 0.007376, -0.008188, 0.999880)"
"1702074827866","(-0.180527, 0.382024, 0.215766)","(0.820316, 0.074481, 0.036850, 0.565841)","(-0.030779, -0.027623, 0.015608)","(0.699514, 0.078629, -0.169404, 0.689783)","(0.003666, 0.063763, -0.030736)","(0.276284, 0.158325, -0.251099, 0.914084)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827895","(-0.180527, 0.382024, 0.215766)","(0.820316, 0.074481, 0.036850, 0.565841)","(-0.030779, -0.027623, 0.015608)","(0.699514, 0.078629, -0.169404, 0.689783)","(0.003666, 0.063763, -0.030736)","(0.276284, 0.158325, -0.251099, 0.914084)","(0.001834, 0.003468, 0.002564)","(-0.005755, 0.004240, -0.004875, 0.999963)"
"1702074827923","(-0.187580, 0.374809, 0.215880)","(0.822844, 0.075822, 0.043147, 0.561531)","(-0.030107, -0.027615, 0.015393)","(0.697057, 0.081005, -0.164233, 0.693237)","(0.003556, 0.064356, -0.031157)","(0.280385, 0.157513, -0.246120, 0.914330)","(0.001818, 0.003488, 0.003225)","(-0.006394, 0.005464, -0.007635, 0.999936)"
"1702074827931","(-0.196959, 0.366557, 0.215373)","(0.825180, 0.079032, 0.052291, 0.556865)","(-0.030519, -0.031567, 0.012442)","(0.701724, 0.083584, -0.154603, 0.690432)","(0.002231, 0.061497, -0.032562)","(0.286356, 0.156222, -0.236584, 0.915218)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
