"timestamp","rif_pos","rif_rot","rif_vel","rif_ang_vel","lif_pos","lif_rot","lif_vel","lif_ang_vel","rPalm_pos","rPalm_rot","rPalm_vel","rPalm_ang_vel","lPalm_pos","lPalm_rot","lPalm_vel","lPalm_ang_vel","cam_pos","cam_rot","cam_vel","cam_ang_vel","tar_pos","tar_rot","tar_vel","tar_ang_vel","Is Eye Tracking Enabled and Valid","gaze origin","gaze direction","gaze rotation","head movement direction","head velocity"
"1702074810249","(0.202090, -0.228133, 0.337580)","(0.051927, -0.182035, 0.250359, -0.949467)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.187311, -0.271105, 0.235677)","(0.311470, -0.080331, 0.292605, -0.900509)","(0.000000, 0.000000, 0.000000)","(0.000001, 0.000000, 0.000001)","null","null","null","null","(0.016829, 0.021822, -0.025447)","(0.238284, 0.098950, 0.013695, 0.966045)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.017098, 0.022005, -0.025443)","(0.199468, -0.456671, 0.866986)","(0.238284, 0.098950, 0.013695, 0.966045)","(0.460489, 0.574658, -0.676548)","(0.000000, 0.000000, 0.000000)"
"1702074810266","(0.201519, -0.229156, 0.336359)","(0.051927, -0.182035, 0.250359, -0.949467)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.186740, -0.272128, 0.234457)","(0.311470, -0.080331, 0.292605, -0.900509)","(0.000000, 0.000000, 0.000000)","(0.000001, 0.000000, 0.000000)","null","null","null","null","(0.016573, 0.021483, -0.025532)","(0.238867, 0.098299, 0.013468, 0.965970)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.016872, 0.021851, -0.025446)","(0.197990, -0.457513, 0.866880)","(0.238867, 0.098299, 0.013468, 0.965970)","(0.459383, 0.575397, -0.676673)","(0.000000, 0.000000, 0.000000)"
"1702074810282","(0.197730, -0.227472, 0.330780)","(0.051336, -0.177874, 0.250520, -0.950245)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.183711, -0.270662, 0.228794)","(0.310903, -0.075893, 0.295819, -0.900039)","(0.000000, 0.000000, 0.000000)","(-0.000001, 0.000000, 0.000001)","null","null","null","null","(0.016276, 0.021240, -0.025717)","(0.239682, 0.097572, 0.013402, 0.965843)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.016628, 0.021551, -0.025516)","(0.196643, -0.458588, 0.866619)","(0.239682, 0.097572, 0.013402, 0.965843)","(0.458017, 0.575625, -0.677403)","(0.000000, 0.000000, 0.000000)"
"1702074810299","(0.196113, -0.224832, 0.327269)","(0.048512, -0.176317, 0.251361, -0.950461)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.182416, -0.267491, 0.224962)","(0.308228, -0.074597, 0.298795, -0.900085)","(0.000000, 0.000000, 0.000000)","(0.000001, 0.000000, -0.000001)","null","null","null","null","(0.016071, 0.021192, -0.025857)","(0.240651, 0.096863, 0.013388, 0.965673)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.016348, 0.021304, -0.025676)","(0.195260, -0.460009, 0.866179)","(0.240651, 0.096863, 0.013388, 0.965673)","(0.456228, 0.575416, -0.678787)","(0.000000, 0.000000, 0.000000)"
"1702074810334","(0.193730, -0.223524, 0.321918)","(0.042308, -0.172663, 0.254175, -0.950680)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.180527, -0.265637, 0.219324)","(0.305822, -0.072540, 0.303293, -0.899569)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000001)","null","null","null","null","(0.015696, 0.021035, -0.026074)","(0.241706, 0.096101, 0.013699, 0.965482)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.015921, 0.021126, -0.025884)","(0.193020, -0.462885, 0.865148)","(0.241706, 0.096101, 0.013699, 0.965482)","(0.451728, 0.574672, -0.682417)","(0.000000, 0.000000, 0.000000)"
"1702074810349","(0.191953, -0.221557, 0.319600)","(0.036018, -0.169297, 0.255931, -0.951073)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.179278, -0.263186, 0.216823)","(0.304600, -0.070153, 0.306237, -0.899175)","(0.000000, 0.000000, 0.000000)","(-0.000001, 0.000000, -0.000001)","null","null","null","null","(0.015471, 0.021153, -0.026035)","(0.241789, 0.095891, 0.014067, 0.965477)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.015759, 0.021061, -0.026020)","(0.192423, -0.463753, 0.864816)","(0.241789, 0.095891, 0.014067, 0.965477)","(0.449171, 0.574155, -0.684537)","(0.000000, 0.000000, 0.000000)"
"1702074810367","(0.190247, -0.220899, 0.317070)","(0.029040, -0.166505, 0.255430, -0.951939)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.178237, -0.262135, 0.214309)","(0.305776, -0.066824, 0.306186, -0.899047)","(0.000000, 0.000000, 0.000000)","(-0.000001, 0.000000, -0.000001)","null","null","null","null","(0.015281, 0.021117, -0.026337)","(0.241702, 0.095575, 0.014507, 0.965523)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.015559, 0.021125, -0.026031)","(0.192103, -0.464054, 0.864726)","(0.241702, 0.095575, 0.014507, 0.965523)","(0.446377, 0.573929, -0.686552)","(0.000000, 0.000000, 0.000000)"
"1702074810385","(0.188325, -0.220073, 0.313580)","(0.016387, -0.163764, 0.254483, -0.952970)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.177256, -0.260181, 0.210818)","(0.308019, -0.063484, 0.304330, -0.899154)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.015267, 0.021152, -0.026393)","(0.241906, 0.095662, 0.014885, 0.965458)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.015372, 0.021120, -0.026237)","(0.191746, -0.463994, 0.864837)","(0.241906, 0.095662, 0.014885, 0.965458)","(0.443287, 0.573619, -0.688809)","(0.000000, 0.000000, 0.000000)"
"1702074810399","(0.186542, -0.220021, 0.310066)","(0.002685, -0.160712, 0.253770, -0.953816)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.176586, -0.258533, 0.207120)","(0.309493, -0.060570, 0.302628, -0.899423)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, -0.000001)","null","null","null","null","(0.015098, 0.021443, -0.026524)","(0.241837, 0.095974, 0.015292, 0.965438)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.015303, 0.021141, -0.026339)","(0.191857, -0.464163, 0.864722)","(0.241837, 0.095974, 0.015292, 0.965438)","(0.440258, 0.573308, -0.691007)","(0.000000, 0.000000, 0.000000)"
"1702074810433","(0.183189, -0.218974, 0.304313)","(-0.012564, -0.156953, 0.256455, -0.953645)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.174353, -0.255258, 0.200981)","(0.310306, -0.059532, 0.303670, -0.898861)","(0.000000, 0.000000, 0.000000)","(0.000001, 0.000000, 0.000001)","null","null","null","null","(0.014727, 0.021817, -0.026763)","(0.240663, 0.096786, 0.016220, 0.965635)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.015022, 0.021602, -0.026585)","(0.193304, -0.463365, 0.864828)","(0.240663, 0.096786, 0.016220, 0.965635)","(0.433518, 0.573791, -0.694857)","(0.000000, 0.000000, 0.000000)"
