"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1697306975370","(-0.040862, 0.430490, 0.253649)","(0.772738, 0.111531, -0.015845, 0.624649)","(-0.140273, 0.245695, 0.040448)","(0.661255, -0.247577, -0.577669, 0.409568)","(-0.040374, 0.260011, -0.007301)","(0.446029, 0.031771, -0.664075, 0.599211)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975398","(-0.040876, 0.430582, 0.253825)","(0.772698, 0.111713, -0.016098, 0.624660)","(-0.140202, 0.245222, 0.040449)","(0.662190, -0.250879, -0.575848, 0.408611)","(-0.040322, 0.259773, -0.007428)","(0.446140, 0.032940, -0.662240, 0.601093)","(0.001148, -0.002467, -0.000070)","(-0.006174, 0.003225, -0.000553, 0.999976)"
"1697306975412","(-0.044115, 0.429709, 0.259231)","(0.776118, 0.110802, -0.012757, 0.620646)","(-0.141681, 0.246774, 0.042816)","(0.666964, -0.249407, -0.574842, 0.403128)","(-0.041694, 0.262218, -0.004534)","(0.451713, 0.037938, -0.659380, 0.599778)","(0.001071, -0.003528, -0.000262)","(-0.001587, 0.002263, 0.002369, 0.999993)"
"1697306975429","(-0.044319, 0.432587, 0.260716)","(0.777158, 0.107726, -0.012257, 0.619896)","(-0.141471, 0.250397, 0.043703)","(0.667626, -0.249878, -0.575886, 0.400241)","(-0.041447, 0.265747, -0.003602)","(0.453572, 0.039334, -0.659640, 0.597996)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975463","(-0.044310, 0.432484, 0.260811)","(0.776923, 0.107931, -0.012181, 0.620155)","(-0.141448, 0.250460, 0.043694)","(0.667626, -0.249878, -0.575886, 0.400241)","(-0.041424, 0.265810, -0.003610)","(0.453573, 0.039334, -0.659640, 0.597996)","(0.001021, -0.003035, -0.000961)","(0.005714, -0.001450, 0.003623, 0.999976)"
"1697306975479","(-0.041363, 0.438679, 0.256726)","(0.773421, 0.106127, -0.015648, 0.624750)","(-0.140505, 0.254730, 0.042784)","(0.659265, -0.250060, -0.579969, 0.408014)","(-0.040103, 0.268983, -0.005284)","(0.452162, 0.030923, -0.661717, 0.597263)","(0.000284, -0.002395, -0.002103)","(0.002811, -0.003461, -0.002766, 0.999986)"
"1697306975505","(-0.042244, 0.442301, 0.256627)","(0.771468, 0.110664, -0.016727, 0.626348)","(-0.141848, 0.256663, 0.044426)","(0.656793, -0.248452, -0.580411, 0.412332)","(-0.041862, 0.271198, -0.004417)","(0.448102, 0.032380, -0.661708, 0.600249)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975528","(-0.042290, 0.442284, 0.256622)","(0.771577, 0.111101, -0.016653, 0.626137)","(-0.141887, 0.256153, 0.044687)","(0.654646, -0.244853, -0.580552, 0.417667)","(-0.041772, 0.271096, -0.004266)","(0.449069, 0.030922, -0.659657, 0.601859)","(0.000509, -0.001543, -0.002581)","(0.005942, -0.007133, -0.003799, 0.999950)"
"1697306975549","(-0.042600, 0.446517, 0.254481)","(0.767580, 0.118584, -0.020442, 0.629557)","(-0.143688, 0.256772, 0.046218)","(0.648260, -0.241392, -0.578702, 0.431964)","(-0.044111, 0.272185, -0.003844)","(0.441377, 0.028759, -0.657325, 0.610150)","(-0.004759, 0.021877, 0.012471)","(0.032843, -0.015643, 0.068947, 0.996957)"
"1697306975553","(0.029028, 0.440249, 0.213483)","(0.752720, 0.074597, -0.079673, 0.649230)","(-0.104043, 0.252952, 0.021376)","(0.604014, -0.293857, -0.603796, 0.429239)","(-0.004747, 0.252237, -0.032100)","(0.411160, -0.019677, -0.698588, 0.585266)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975574","(0.029028, 0.440249, 0.213483)","(0.752720, 0.074597, -0.079673, 0.649230)","(-0.104043, 0.252952, 0.021376)","(0.604014, -0.293857, -0.603796, 0.429239)","(-0.004747, 0.252237, -0.032100)","(0.411160, -0.019677, -0.698588, 0.585266)","(0.000001, -0.000001, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975590","(0.028939, 0.440341, 0.213500)","(0.753047, 0.074285, -0.079992, 0.648848)","(-0.103776, 0.252735, 0.021267)","(0.600367, -0.293337, -0.595191, 0.446385)","(-0.003942, 0.252733, -0.031752)","(0.409053, -0.030357, -0.690187, 0.596152)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975605","(0.028918, 0.440298, 0.213509)","(0.753287, 0.074178, -0.080242, 0.648551)","(-0.103870, 0.252627, 0.020760)","(0.603417, -0.297927, -0.589332, 0.447007)","(-0.003347, 0.252735, -0.031047)","(0.412395, -0.034550, -0.685741, 0.598746)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975630","(0.028822, 0.440372, 0.213510)","(0.753400, 0.074029, -0.080451, 0.648410)","(-0.103650, 0.252875, 0.020390)","(0.605955, -0.304100, -0.587111, 0.442314)","(-0.002744, 0.252428, -0.030685)","(0.415640, -0.036916, -0.685346, 0.596809)","(0.000001, -0.000001, -0.000002)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975649","(0.028691, 0.440482, 0.213578)","(0.753534, 0.073645, -0.080736, 0.648263)","(-0.103146, 0.253627, 0.020170)","(0.617809, -0.329952, -0.576122, 0.421342)","(-0.002119, 0.252524, -0.030648)","(0.418274, -0.040310, -0.686319, 0.593624)","(0.000885, -0.001820, -0.000864)","(-0.001305, -0.004204, 0.006955, 0.999966)"
"1697306975676","(0.035794, 0.441396, 0.215420)","(0.754487, 0.071090, -0.088506, 0.646423)","(-0.100058, 0.256847, 0.022632)","(0.613621, -0.331715, -0.582060, 0.417901)","(0.000514, 0.254476, -0.029039)","(0.415869, -0.039827, -0.692235, 0.588454)","(-0.000003, -0.000001, -0.000002)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975698","(0.035715, 0.441566, 0.215346)","(0.754380, 0.070961, -0.088393, 0.646578)","(-0.099293, 0.257262, 0.022686)","(0.616761, -0.339342, -0.575999, 0.415545)","(0.001453, 0.255114, -0.028985)","(0.416353, -0.044254, -0.690274, 0.590096)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975726","(0.035673, 0.441733, 0.215375)","(0.754463, 0.070665, -0.088231, 0.646535)","(-0.098301, 0.257559, 0.022902)","(0.618975, -0.345843, -0.568607, 0.417072)","(0.003129, 0.255431, -0.027942)","(0.419642, -0.053497, -0.685529, 0.592528)","(-0.000002, 0.000001, -0.000001)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975741","(0.035779, 0.441767, 0.215496)","(0.754158, 0.070606, -0.088010, 0.646927)","(-0.097334, 0.257922, 0.023017)","(0.620906, -0.349520, -0.564994, 0.416045)","(0.004513, 0.255853, -0.027360)","(0.421618, -0.057930, -0.683512, 0.593038)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975753","(0.035810, 0.441948, 0.215582)","(0.753792, 0.070575, -0.087836, 0.647381)","(-0.097492, 0.258639, 0.022847)","(0.620617, -0.349702, -0.565729, 0.415324)","(0.004193, 0.256692, -0.027953)","(0.420628, -0.056160, -0.684181, 0.593139)","(-0.000003, 0.000001, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975766","(0.035822, 0.441855, 0.215601)","(0.753712, 0.070679, -0.087724, 0.647478)","(-0.097515, 0.259140, 0.023166)","(0.618005, -0.349005, -0.568103, 0.416563)","(0.003979, 0.256885, -0.028074)","(0.418515, -0.055234, -0.685832, 0.592814)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
