"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1691603622285","(-0.024284, 0.436172, 0.083948)","(0.764451, 0.065800, -0.019426, 0.641020)","(0.070870, 0.209294, -0.043314)","(0.558951, 0.013522, -0.470050, 0.682967)","(0.118394, 0.268870, -0.128060)","(0.258557, 0.205405, -0.521588, 0.786704)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691603622303","(-0.023727, 0.437442, 0.083956)","(0.765227, 0.065765, -0.020588, 0.640061)","(0.070870, 0.209294, -0.043314)","(0.558951, 0.013522, -0.470050, 0.682967)","(0.118394, 0.268870, -0.128060)","(0.258557, 0.205405, -0.521588, 0.786704)","(0.001569, 0.000256, -0.001327)","(-0.001425, -0.002132, 0.002921, 0.999993)"
"1691603622308","(-0.020448, 0.438966, 0.086664)","(0.764553, 0.066192, -0.026055, 0.640624)","(0.070343, 0.208749, -0.041689)","(0.558957, 0.014015, -0.473213, 0.680764)","(0.117854, 0.268289, -0.126468)","(0.259164, 0.207068, -0.524140, 0.784369)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691603622321","(-0.020448, 0.438966, 0.086664)","(0.764553, 0.066192, -0.026055, 0.640624)","(0.070343, 0.208749, -0.041689)","(0.558957, 0.014015, -0.473213, 0.680764)","(0.117854, 0.268289, -0.126468)","(0.259164, 0.207068, -0.524140, 0.784369)","(0.004612, -0.000729, -0.004648)","(-0.006558, -0.002624, -0.012598, 0.999896)"
"1691603622347","(-0.034920, 0.439093, 0.097022)","(0.767811, 0.079403, -0.019870, 0.635427)","(0.060239, 0.211536, -0.034610)","(0.561945, 0.025945, -0.465962, 0.682952)","(0.105777, 0.273357, -0.118838)","(0.260297, 0.215807, -0.513525, 0.788647)","(-0.000001, -0.000001, 0.000001)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691603622361","(-0.034457, 0.440406, 0.097107)","(0.767354, 0.080874, -0.019295, 0.635810)","(0.060240, 0.211537, -0.034611)","(0.561945, 0.025945, -0.465962, 0.682952)","(0.105778, 0.273358, -0.118838)","(0.260297, 0.215807, -0.513525, 0.788647)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691603622397","(-0.033718, 0.441658, 0.097054)","(0.766679, 0.081748, -0.019078, 0.636520)","(0.048471, 0.092361, -0.085518)","(0.811849, 0.123091, -0.169870, 0.544881)","(0.062394, 0.197881, -0.128318)","(0.512213, 0.241567, -0.165637, 0.807371)","(0.002974, 0.000927, -0.004222)","(-0.010631, -0.001209, -0.012405, 0.999866)"
"1691603622414","(-0.045994, 0.439559, 0.110655)","(0.770734, 0.093588, -0.011269, 0.630146)","(0.045264, 0.094032, -0.081094)","(0.835267, 0.133318, -0.157469, 0.509666)","(0.055573, 0.200558, -0.119672)","(0.524687, 0.251672, -0.144634, 0.800279)","(0.001040, -0.000615, -0.002173)","(0.005370, -0.001544, -0.002597, 0.999981)"
"1691603622431","(-0.048528, 0.442050, 0.108395)","(0.766347, 0.096409, -0.011483, 0.635047)","(0.044487, 0.095220, -0.080462)","(0.860429, 0.125036, -0.154123, 0.469333)","(0.053783, 0.199842, -0.118852)","(0.519591, 0.251901, -0.136362, 0.804970)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691603622452","(-0.048054, 0.443418, 0.107967)","(0.765942, 0.095906, -0.012233, 0.635598)","(0.044917, 0.094714, -0.080521)","(0.860429, 0.125036, -0.154122, 0.469333)","(0.054213, 0.199336, -0.118911)","(0.519591, 0.251901, -0.136362, 0.804970)","(0.000557, -0.000234, -0.001170)","(0.003361, -0.000788, -0.000273, 0.999994)"
"1691603622470","(-0.048278, 0.445652, 0.105997)","(0.764425, 0.096370, -0.014546, 0.637304)","(0.044540, 0.097363, -0.079983)","(0.881830, 0.113504, -0.153107, 0.431337)","(0.053566, 0.199783, -0.118819)","(0.511557, 0.249609, -0.130828, 0.811720)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691603622493","(-0.047575, 0.446963, 0.106081)","(0.765560, 0.096764, -0.016620, 0.635829)","(0.046184, 0.097658, -0.074933)","(0.849625, 0.120818, -0.140997, 0.493620)","(0.054604, 0.200313, -0.118846)","(0.505889, 0.241950, -0.129122, 0.817841)","(0.000661, -0.000232, -0.001265)","(0.003866, -0.000593, -0.000180, 0.999992)"
"1691603622511","(-0.047690, 0.449051, 0.104452)","(0.763204, 0.097591, -0.018192, 0.638486)","(0.044986, 0.101507, -0.072930)","(0.831595, 0.127100, -0.137308, 0.522917)","(0.053270, 0.204606, -0.118257)","(0.504532, 0.240478, -0.129656, 0.819028)","(0.000678, 0.000048, -0.000844)","(0.000089, -0.000024, 0.000989, 1.000000)"
"1691603622529","(-0.046264, 0.451185, 0.105670)","(0.762077, 0.097532, -0.020205, 0.639779)","(0.044436, 0.107317, -0.067004)","(0.784090, 0.141623, -0.133346, 0.589377)","(0.052173, 0.211434, -0.115901)","(0.508178, 0.239586, -0.134252, 0.816290)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691603622560","(-0.045912, 0.451879, 0.105657)","(0.759854, 0.098480, -0.020539, 0.642264)","(0.042776, 0.116062, -0.060976)","(0.729577, 0.158725, -0.133898, 0.651610)","(0.049608, 0.221067, -0.113146)","(0.515145, 0.242387, -0.138227, 0.810412)","(0.000064, 0.000148, -0.000018)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691603622580","(-0.045807, 0.452627, 0.105202)","(0.758945, 0.098920, -0.020726, 0.643264)","(0.043302, 0.119827, -0.059825)","(0.729577, 0.158725, -0.133898, 0.651610)","(0.050134, 0.224832, -0.111995)","(0.515145, 0.242387, -0.138227, 0.810412)","(0.000764, 0.000914, -0.000082)","(-0.002556, 0.002414, -0.001430, 0.999993)"
"1691603622601","(-0.047646, 0.452791, 0.107739)","(0.759551, 0.098522, -0.018708, 0.642671)","(0.042484, 0.119339, -0.058929)","(0.731334, 0.158536, -0.130798, 0.650315)","(0.049266, 0.224628, -0.110528)","(0.517200, 0.241518, -0.135204, 0.809872)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
