"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1686255109235","(-0.008599, 0.452109, 0.023785)","(0.699076, -0.006623, -0.018793, 0.714770)","(0.080285, 0.094519, -0.509074)","(0.856781, -0.117457, -0.184618, -0.466955)","(0.146497, 0.073394, -0.456294)","(0.889315, 0.187869, -0.326858, 0.258821)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686255109254","(-0.008600, 0.452077, 0.023729)","(0.699361, -0.007166, -0.019240, 0.714474)","(0.080285, 0.094519, -0.509074)","(0.856781, -0.117457, -0.184618, -0.466955)","(0.146497, 0.073394, -0.456294)","(0.889315, 0.187869, -0.326858, 0.258821)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686255109279","(-0.008490, 0.451769, 0.023797)","(0.699385, -0.007672, -0.019156, 0.714447)","(0.080285, 0.094519, -0.509074)","(0.856781, -0.117457, -0.184618, -0.466955)","(0.146497, 0.073394, -0.456294)","(0.889315, 0.187869, -0.326858, 0.258821)","(0.000889, 0.000856, 0.000207)","(0.001363, 0.000380, 0.012303, 0.999923)"
"1686255109314","(0.002009, 0.450988, 0.022298)","(0.698464, -0.016484, -0.027182, 0.714939)","(0.082047, 0.090287, -0.509471)","(0.855977, -0.128063, -0.178373, -0.468067)","(0.147680, 0.067684, -0.456580)","(0.891329, 0.176369, -0.329935, 0.256064)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686255109320","(0.002339, 0.451038, 0.022424)","(0.698954, -0.014275, -0.025507, 0.714569)","(0.051606, 0.009034, -0.489436)","(0.956178, -0.054398, -0.282284, 0.055491)","(0.129693, 0.051377, -0.447521)","(0.720308, 0.190129, -0.400206, 0.533707)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686255109344","(0.002339, 0.451038, 0.022424)","(0.698954, -0.014275, -0.025507, 0.714569)","(0.051606, 0.009034, -0.489436)","(0.956178, -0.054398, -0.282284, 0.055491)","(0.129693, 0.051377, -0.447521)","(0.720308, 0.190129, -0.400206, 0.533707)","(0.000131, 0.000426, 0.000361)","(0.001604, 0.000491, 0.003180, 0.999994)"
"1686255109368","(0.005384, 0.450609, 0.020789)","(0.697994, -0.015273, -0.025787, 0.715476)","(0.052889, 0.006770, -0.489187)","(0.956050, -0.060723, -0.279290, 0.065409)","(0.131027, 0.048902, -0.447497)","(0.716507, 0.175924, -0.396089, 0.546610)","(0.000546, -0.001535, 0.000523)","(-0.011129, 0.000711, -0.000899, 0.999937)"
"1686255109376","(0.003966, 0.451545, 0.030287)","(0.705481, -0.014423, -0.024158, 0.708170)","(0.053752, 0.019976, -0.487413)","(0.956148, -0.060712, -0.277218, 0.072418)","(0.131927, 0.061676, -0.445468)","(0.716925, 0.171523, -0.395176, 0.548119)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686255109403","(0.003966, 0.451545, 0.030287)","(0.705481, -0.014423, -0.024158, 0.708170)","(0.053752, 0.019976, -0.487413)","(0.956148, -0.060712, -0.277218, 0.072418)","(0.131927, 0.061676, -0.445468)","(0.716925, 0.171523, -0.395176, 0.548119)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686255109416","(0.004254, 0.451504, 0.030041)","(0.705759, -0.014304, -0.024298, 0.707890)","(0.054098, 0.016497, -0.487249)","(0.953023, -0.038447, -0.267784, 0.136241)","(0.131608, 0.060633, -0.444726)","(0.718797, 0.159861, -0.394857, 0.549422)","(0.001322, 0.000192, 0.000090)","(0.008701, 0.001108, -0.007065, 0.999937)"
